JUNHO - produção;978.924,91;276.936,47;1.255.861,38;191.373,03;736.383,50;927.756,53;2.183.617,91;18.490,13;46.062,50;264.150,70;310.213,20;131.320,23;2.158.634,59;1.729.330,05;3.887.964,64;1.497.523,99;2.721.499,45;4.219.023,44;8.106.988,08;353.434,32;1.420.893,61;1.774.327,93;3.537.056,32;53%;3.841.121,19;71%;7.378.177,51;1.688.897,02;59%;3.457.882,95;94%;5.146.779,97;12.524.957,48; 12.420.414,08 ;-104.543,40;0,835%;Julho - PA de 08/25;;;; 54.096.602,92 ; 41.571.645,44 ; 54.096.602,92 ;
rateio/previsão;;;;;;;2.165.391,67; 18.335,80 ;;;307.623,91;130.224,13;;;;;;;8.039.320,62;;;1.759.517,96;;;;;;;;;;;; 12.420.414,08 ;;;;;;;;;;* valor acrescido sentenças judiciais
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MARÇO;Média e Alta Complexidade (MAC);;;Média e Alta Complexidade (MAC) Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Rótulos de Linha;Alta Complexidade;Média Complexidade;Não se Aplica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CAISM;966.337,79;240.325,99;;1.206.663,78;;;;CAISM;;;;HC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CEPRE;;5.370,99;;5.370,99;;;;Alta;%;Media;%;Alta;%;Média;%;;;;Descontos das ações juduciais;;;264.092,22;;;;;;;;;;;;;;;;;;;;;
